,year,state,consumption,state_code,tax_name,tax_code,taxes_collected,include?,population
333,2018,Florida,927049,10.0,Sales and Gross Receipts Taxes,TA1,34089929,no,20976812
334,2019,Florida,966943,10.0,Sales and Gross Receipts Taxes,TA1,34089929,no,20976812
335,2020,Florida,947906,10.0,Sales and Gross Receipts Taxes,TA1,34089929,no,20976812
336,2018,Georgia,400690,11.0,Sales and Gross Receipts Taxes,TA1,8809190,no,10413055
337,2019,Georgia,416542,11.0,Sales and Gross Receipts Taxes,TA1,8809190,no,10413055
338,2020,Georgia,408753,11.0,Sales and Gross Receipts Taxes,TA1,8809190,no,10413055
339,2018,Kentucky,160788,18.0,Sales and Gross Receipts Taxes,TA1,5649708,no,4453874
340,2019,Kentucky,165186,18.0,Sales and Gross Receipts Taxes,TA1,5649708,no,4453874
341,2020,Kentucky,163750,18.0,Sales and Gross Receipts Taxes,TA1,5649708,no,4453874
342,2018,Louisiana,171430,19.0,Sales and Gross Receipts Taxes,TA1,6770967,no,4670818
343,2019,Louisiana,176521,19.0,Sales and Gross Receipts Taxes,TA1,6770967,no,4670818
344,2020,Louisiana,173521,19.0,Sales and Gross Receipts Taxes,TA1,6770967,no,4670818
345,2018,Mississippi,94782,25.0,Sales and Gross Receipts Taxes,TA1,4950204,no,2989663
346,2019,Mississippi,96534,25.0,Sales and Gross Receipts Taxes,TA1,4950204,no,2989663
347,2020,Mississippi,95998,25.0,Sales and Gross Receipts Taxes,TA1,4950204,no,2989663
348,2018,North Carolina,388543,34.0,Sales and Gross Receipts Taxes,TA1,11698702,no,10270800
349,2019,North Carolina,407916,34.0,Sales and Gross Receipts Taxes,TA1,11698702,no,10270800
350,2020,North Carolina,405953,34.0,Sales and Gross Receipts Taxes,TA1,11698702,no,10270800
351,2018,South Carolina,188549,41.0,Sales and Gross Receipts Taxes,TA1,4637349,no,5021219
352,2019,South Carolina,196624,41.0,Sales and Gross Receipts Taxes,TA1,4637349,no,5021219
353,2020,South Carolina,195959,41.0,Sales and Gross Receipts Taxes,TA1,4637349,no,5021219
354,2018,Tennessee,250646,43.0,Sales and Gross Receipts Taxes,TA1,10010965,no,6708794
355,2019,Tennessee,260814,43.0,Sales and Gross Receipts Taxes,TA1,10010965,no,6708794
356,2020,Tennessee,258252,43.0,Sales and Gross Receipts Taxes,TA1,10010965,no,6708794
357,2018,Virginia,366752,47.0,Sales and Gross Receipts Taxes,TA1,6916097,no,8465207
358,2019,Virginia,377556,47.0,Sales and Gross Receipts Taxes,TA1,6916097,no,8465207
359,2020,Virginia,367303,47.0,Sales and Gross Receipts Taxes,TA1,6916097,no,8465207
360,2018,West Virginia,66584,49.0,Sales and Gross Receipts Taxes,TA1,2672887,no,1817048
361,2019,West Virginia,68110,49.0,Sales and Gross Receipts Taxes,TA1,2672887,no,1817048
362,2020,West Virginia,66404,49.0,Sales and Gross Receipts Taxes,TA1,2672887,no,1817048
363,2018,Arizona,273434,3.0,Sales and Gross Receipts Taxes,TA1,9214293,no,7048876
364,2019,Arizona,287660,3.0,Sales and Gross Receipts Taxes,TA1,9214293,no,7048876
365,2020,Arizona,287090,3.0,Sales and Gross Receipts Taxes,TA1,9214293,no,7048876
366,2018,New Mexico,74540,32.0,Sales and Gross Receipts Taxes,TA1,3069641,no,2093395
367,2019,New Mexico,76039,32.0,Sales and Gross Receipts Taxes,TA1,3069641,no,2093395
368,2020,New Mexico,74276,32.0,Sales and Gross Receipts Taxes,TA1,3069641,no,2093395
369,2018,Oklahoma,135983,37.0,Sales and Gross Receipts Taxes,TA1,3764895,no,3932640
370,2019,Oklahoma,138946,37.0,Sales and Gross Receipts Taxes,TA1,3764895,no,3932640
371,2020,Oklahoma,137469,37.0,Sales and Gross Receipts Taxes,TA1,3764895,no,3932640
372,2018,Texas,1128352,44.0,Sales and Gross Receipts Taxes,TA1,46897352,no,28322717
373,2019,Texas,1173809,44.0,Sales and Gross Receipts Taxes,TA1,46897352,no,28322717
374,2020,Texas,1164466,44.0,Sales and Gross Receipts Taxes,TA1,46897352,no,28322717
375,2018,Colorado,259864,6.0,Sales and Gross Receipts Taxes,TA1,5277083,no,5615902
376,2019,Colorado,273403,6.0,Sales and Gross Receipts Taxes,TA1,5277083,no,5615902
377,2020,Colorado,270883,6.0,Sales and Gross Receipts Taxes,TA1,5277083,no,5615902
378,2018,Idaho,61376,13.0,Sales and Gross Receipts Taxes,TA1,2231756,no,1718904
379,2019,Idaho,63986,13.0,Sales and Gross Receipts Taxes,TA1,2231756,no,1718904
380,2020,Idaho,64781,13.0,Sales and Gross Receipts Taxes,TA1,2231756,no,1718904
381,2018,Montana,43990,27.0,Sales and Gross Receipts Taxes,TA1,576214,no,1053090
382,2019,Montana,45545,27.0,Sales and Gross Receipts Taxes,TA1,576214,no,1053090
383,2020,Montana,45719,27.0,Sales and Gross Receipts Taxes,TA1,576214,no,1053090
384,2018,Utah,113864,45.0,Sales and Gross Receipts Taxes,TA1,3530809,no,3103118
385,2019,Utah,119970,45.0,Sales and Gross Receipts Taxes,TA1,3530809,no,3103118
386,2020,Utah,121445,45.0,Sales and Gross Receipts Taxes,TA1,3530809,no,3103118
387,2018,Wyoming,24352,51.0,Sales and Gross Receipts Taxes,TA1,762588,no,578934
388,2019,Wyoming,24839,51.0,Sales and Gross Receipts Taxes,TA1,762588,no,578934
389,2020,Wyoming,24467,51.0,Sales and Gross Receipts Taxes,TA1,762588,no,578934
390,2018,Alaska,36645,2.0,Sales and Gross Receipts Taxes,TA1,263120,no,739786
391,2019,Alaska,37780,2.0,Sales and Gross Receipts Taxes,TA1,263120,no,739786
392,2020,Alaska,35636,2.0,Sales and Gross Receipts Taxes,TA1,263120,no,739786
393,2018,California,1835635,5.0,Sales and Gross Receipts Taxes,TA1,51530249,no,39399349
394,2019,California,1921463,5.0,Sales and Gross Receipts Taxes,TA1,51530249,no,39399349
395,2020,California,1835981,5.0,Sales and Gross Receipts Taxes,TA1,51530249,no,39399349
396,2018,Hawaii,64439,12.0,Sales and Gross Receipts Taxes,TA1,4365856,no,1424203
397,2019,Hawaii,66977,12.0,Sales and Gross Receipts Taxes,TA1,4365856,no,1424203
398,2020,Hawaii,63427,12.0,Sales and Gross Receipts Taxes,TA1,4365856,no,1424203
399,2018,Nevada,120132,29.0,Sales and Gross Receipts Taxes,TA1,6923284,no,2972405
400,2019,Nevada,125927,29.0,Sales and Gross Receipts Taxes,TA1,6923284,no,2972405
401,2020,Nevada,123054,29.0,Sales and Gross Receipts Taxes,TA1,6923284,no,2972405
402,2018,Oregon,172989,38.0,Sales and Gross Receipts Taxes,TA1,1523790,no,4146592
403,2019,Oregon,180750,38.0,Sales and Gross Receipts Taxes,TA1,1523790,no,4146592
404,2020,Oregon,178375,38.0,Sales and Gross Receipts Taxes,TA1,1523790,no,4146592
405,2018,Washington,347411,48.0,Sales and Gross Receipts Taxes,TA1,19170781,no,7425432
406,2019,Washington,363100,48.0,Sales and Gross Receipts Taxes,TA1,19170781,no,7425432
407,2020,Washington,354219,48.0,Sales and Gross Receipts Taxes,TA1,19170781,no,7425432
408,2018,Connecticut,181568,7.0,General Sales and Gross Receipts Taxes,T09,4236619,no,3573880
409,2019,Connecticut,185316,7.0,General Sales and Gross Receipts Taxes,T09,4236619,no,3573880
410,2020,Connecticut,179406,7.0,General Sales and Gross Receipts Taxes,T09,4236619,no,3573880
411,2018,Maine,60086,20.0,General Sales and Gross Receipts Taxes,T09,1441867,no,1335063
412,2019,Maine,62130,20.0,General Sales and Gross Receipts Taxes,T09,1441867,no,1335063
413,2020,Maine,61124,20.0,General Sales and Gross Receipts Taxes,T09,1441867,no,1335063
414,2018,Massachusetts,364730,22.0,General Sales and Gross Receipts Taxes,T09,6240822,no,6863246
415,2019,Massachusetts,377584,22.0,General Sales and Gross Receipts Taxes,T09,6240822,no,6863246
416,2020,Massachusetts,358472,22.0,General Sales and Gross Receipts Taxes,T09,6240822,no,6863246
417,2018,Rhode Island,45923,40.0,General Sales and Gross Receipts Taxes,T09,996390,no,1056486
418,2019,Rhode Island,47198,40.0,General Sales and Gross Receipts Taxes,T09,996390,no,1056486
419,2020,Rhode Island,45397,40.0,General Sales and Gross Receipts Taxes,T09,996390,no,1056486
420,2018,Vermont,30020,46.0,General Sales and Gross Receipts Taxes,T09,375870,no,624525
421,2019,Vermont,30756,46.0,General Sales and Gross Receipts Taxes,T09,375870,no,624525
422,2020,Vermont,29545,46.0,General Sales and Gross Receipts Taxes,T09,375870,no,624525
423,2018,Maryland,273980,21.0,General Sales and Gross Receipts Taxes,T09,4609538,no,6024891
424,2019,Maryland,280842,21.0,General Sales and Gross Receipts Taxes,T09,4609538,no,6024891
425,2020,Maryland,268457,21.0,General Sales and Gross Receipts Taxes,T09,4609538,no,6024891
426,2018,New Jersey,443500,31.0,General Sales and Gross Receipts Taxes,T09,9591881,no,8888543
427,2019,New Jersey,458468,31.0,General Sales and Gross Receipts Taxes,T09,9591881,no,8888543
428,2020,New Jersey,446078,31.0,General Sales and Gross Receipts Taxes,T09,9591881,no,8888543
429,2018,New York,976857,33.0,General Sales and Gross Receipts Taxes,T09,14132141,no,19590719
430,2019,New York,1015020,33.0,General Sales and Gross Receipts Taxes,T09,14132141,no,19590719
431,2020,New York,961707,33.0,General Sales and Gross Receipts Taxes,T09,14132141,no,19590719
432,2018,Pennsylvania,577036,39.0,General Sales and Gross Receipts Taxes,T09,10509734,no,12790447
433,2019,Pennsylvania,594861,39.0,General Sales and Gross Receipts Taxes,T09,10509734,no,12790447
434,2020,Pennsylvania,570772,39.0,General Sales and Gross Receipts Taxes,T09,10509734,no,12790447
435,2018,Illinois,559565,14.0,General Sales and Gross Receipts Taxes,T09,11363366,no,12786196
436,2019,Illinois,574300,14.0,General Sales and Gross Receipts Taxes,T09,11363366,no,12786196
437,2020,Illinois,553612,14.0,General Sales and Gross Receipts Taxes,T09,11363366,no,12786196
438,2018,Indiana,253792,15.0,General Sales and Gross Receipts Taxes,T09,7556326,no,6660082
439,2019,Indiana,260120,15.0,General Sales and Gross Receipts Taxes,T09,7556326,no,6660082
440,2020,Indiana,257343,15.0,General Sales and Gross Receipts Taxes,T09,7556326,no,6660082
441,2018,Michigan,411916,23.0,General Sales and Gross Receipts Taxes,T09,9223737,no,9976447
442,2019,Michigan,423448,23.0,General Sales and Gross Receipts Taxes,T09,9223737,no,9976447
443,2020,Michigan,411364,23.0,General Sales and Gross Receipts Taxes,T09,9223737,no,9976447
444,2018,Ohio,463474,36.0,General Sales and Gross Receipts Taxes,T09,12512755,no,11664129
445,2019,Ohio,475942,36.0,General Sales and Gross Receipts Taxes,T09,12512755,no,11664129
446,2020,Ohio,466160,36.0,General Sales and Gross Receipts Taxes,T09,12512755,no,11664129
447,2018,Wisconsin,238008,50.0,General Sales and Gross Receipts Taxes,T09,5223935,no,5792051
448,2019,Wisconsin,244555,50.0,General Sales and Gross Receipts Taxes,T09,5223935,no,5792051
449,2020,Wisconsin,238923,50.0,General Sales and Gross Receipts Taxes,T09,5223935,no,5792051
450,2018,Iowa,119390,16.0,General Sales and Gross Receipts Taxes,T09,3205997,no,3143637
451,2019,Iowa,121840,16.0,General Sales and Gross Receipts Taxes,T09,3205997,no,3143637
452,2020,Iowa,118905,16.0,General Sales and Gross Receipts Taxes,T09,3205997,no,3143637
453,2018,Kansas,111458,17.0,General Sales and Gross Receipts Taxes,T09,3209506,no,2910689
454,2019,Kansas,114771,17.0,General Sales and Gross Receipts Taxes,T09,3209506,no,2910689
455,2020,Kansas,113185,17.0,General Sales and Gross Receipts Taxes,T09,3209506,no,2910689
456,2018,Minnesota,255154,24.0,General Sales and Gross Receipts Taxes,T09,5888795,no,5568155
457,2019,Minnesota,262443,24.0,General Sales and Gross Receipts Taxes,T09,5888795,no,5568155
458,2020,Minnesota,251205,24.0,General Sales and Gross Receipts Taxes,T09,5888795,no,5568155
459,2018,Missouri,244845,26.0,General Sales and Gross Receipts Taxes,T09,3604570,no,6108612
460,2019,Missouri,252194,26.0,General Sales and Gross Receipts Taxes,T09,3604570,no,6108612
461,2020,Missouri,246053,26.0,General Sales and Gross Receipts Taxes,T09,3604570,no,6108612
462,2018,Nebraska,78632,28.0,General Sales and Gross Receipts Taxes,T09,1835037,no,1917575
463,2019,Nebraska,80688,28.0,General Sales and Gross Receipts Taxes,T09,1835037,no,1917575
464,2020,Nebraska,79714,28.0,General Sales and Gross Receipts Taxes,T09,1835037,no,1917575
465,2018,North Dakota,34104,35.0,General Sales and Gross Receipts Taxes,T09,872176,no,755176
466,2019,North Dakota,34836,35.0,General Sales and Gross Receipts Taxes,T09,872176,no,755176
467,2020,North Dakota,33631,35.0,General Sales and Gross Receipts Taxes,T09,872176,no,755176
468,2018,South Dakota,36219,42.0,General Sales and Gross Receipts Taxes,T09,1065361,no,873286
469,2019,South Dakota,37599,42.0,General Sales and Gross Receipts Taxes,T09,1065361,no,873286
470,2020,South Dakota,37338,42.0,General Sales and Gross Receipts Taxes,T09,1065361,no,873286
471,2018,Alabama,170857,1.0,General Sales and Gross Receipts Taxes,T09,2654883,no,4875120
472,2019,Alabama,177751,1.0,General Sales and Gross Receipts Taxes,T09,2654883,no,4875120
473,2020,Alabama,176480,1.0,General Sales and Gross Receipts Taxes,T09,2654883,no,4875120
474,2018,Arkansas,101727,4.0,General Sales and Gross Receipts Taxes,T09,3384394,no,3002997
475,2019,Arkansas,104430,4.0,General Sales and Gross Receipts Taxes,T09,3384394,no,3002997
476,2020,Arkansas,104489,4.0,General Sales and Gross Receipts Taxes,T09,3384394,no,3002997
477,2018,Florida,927049,10.0,General Sales and Gross Receipts Taxes,T09,25346166,no,20976812
478,2019,Florida,966943,10.0,General Sales and Gross Receipts Taxes,T09,25346166,no,20976812
479,2020,Florida,947906,10.0,General Sales and Gross Receipts Taxes,T09,25346166,no,20976812
480,2018,Georgia,400690,11.0,General Sales and Gross Receipts Taxes,T09,5729916,no,10413055
481,2019,Georgia,416542,11.0,General Sales and Gross Receipts Taxes,T09,5729916,no,10413055
482,2020,Georgia,408753,11.0,General Sales and Gross Receipts Taxes,T09,5729916,no,10413055
483,2018,Kentucky,160788,18.0,General Sales and Gross Receipts Taxes,T09,3490639,no,4453874
484,2019,Kentucky,165186,18.0,General Sales and Gross Receipts Taxes,T09,3490639,no,4453874
485,2020,Kentucky,163750,18.0,General Sales and Gross Receipts Taxes,T09,3490639,no,4453874
486,2018,Louisiana,171430,19.0,General Sales and Gross Receipts Taxes,T09,4215378,no,4670818
487,2019,Louisiana,176521,19.0,General Sales and Gross Receipts Taxes,T09,4215378,no,4670818
488,2020,Louisiana,173521,19.0,General Sales and Gross Receipts Taxes,T09,4215378,no,4670818
489,2018,Mississippi,94782,25.0,General Sales and Gross Receipts Taxes,T09,3483438,no,2989663
490,2019,Mississippi,96534,25.0,General Sales and Gross Receipts Taxes,T09,3483438,no,2989663
491,2020,Mississippi,95998,25.0,General Sales and Gross Receipts Taxes,T09,3483438,no,2989663
492,2018,North Carolina,388543,34.0,General Sales and Gross Receipts Taxes,T09,7656898,no,10270800
493,2019,North Carolina,407916,34.0,General Sales and Gross Receipts Taxes,T09,7656898,no,10270800
494,2020,North Carolina,405953,34.0,General Sales and Gross Receipts Taxes,T09,7656898,no,10270800
495,2018,South Carolina,188549,41.0,General Sales and Gross Receipts Taxes,T09,3285007,no,5021219
496,2019,South Carolina,196624,41.0,General Sales and Gross Receipts Taxes,T09,3285007,no,5021219
497,2020,South Carolina,195959,41.0,General Sales and Gross Receipts Taxes,T09,3285007,no,5021219
498,2018,Tennessee,250646,43.0,General Sales and Gross Receipts Taxes,T09,7260193,no,6708794
499,2019,Tennessee,260814,43.0,General Sales and Gross Receipts Taxes,T09,7260193,no,6708794
500,2020,Tennessee,258252,43.0,General Sales and Gross Receipts Taxes,T09,7260193,no,6708794
501,2018,Virginia,366752,47.0,General Sales and Gross Receipts Taxes,T09,3970133,no,8465207
502,2019,Virginia,377556,47.0,General Sales and Gross Receipts Taxes,T09,3970133,no,8465207
503,2020,Virginia,367303,47.0,General Sales and Gross Receipts Taxes,T09,3970133,no,8465207
504,2018,West Virginia,66584,49.0,General Sales and Gross Receipts Taxes,T09,1334168,no,1817048
505,2019,West Virginia,68110,49.0,General Sales and Gross Receipts Taxes,T09,1334168,no,1817048
506,2020,West Virginia,66404,49.0,General Sales and Gross Receipts Taxes,T09,1334168,no,1817048
507,2018,Arizona,273434,3.0,General Sales and Gross Receipts Taxes,T09,7237044,no,7048876
508,2019,Arizona,287660,3.0,General Sales and Gross Receipts Taxes,T09,7237044,no,7048876
509,2020,Arizona,287090,3.0,General Sales and Gross Receipts Taxes,T09,7237044,no,7048876
510,2018,New Mexico,74540,32.0,General Sales and Gross Receipts Taxes,T09,2258767,no,2093395
511,2019,New Mexico,76039,32.0,General Sales and Gross Receipts Taxes,T09,2258767,no,2093395
512,2020,New Mexico,74276,32.0,General Sales and Gross Receipts Taxes,T09,2258767,no,2093395
513,2018,Oklahoma,135983,37.0,General Sales and Gross Receipts Taxes,T09,2465383,no,3932640
514,2019,Oklahoma,138946,37.0,General Sales and Gross Receipts Taxes,T09,2465383,no,3932640
515,2020,Oklahoma,137469,37.0,General Sales and Gross Receipts Taxes,T09,2465383,no,3932640
516,2018,Texas,1128352,44.0,General Sales and Gross Receipts Taxes,T09,32490144,no,28322717
517,2019,Texas,1173809,44.0,General Sales and Gross Receipts Taxes,T09,32490144,no,28322717
518,2020,Texas,1164466,44.0,General Sales and Gross Receipts Taxes,T09,32490144,no,28322717
519,2018,Colorado,259864,6.0,General Sales and Gross Receipts Taxes,T09,2978382,no,5615902
520,2019,Colorado,273403,6.0,General Sales and Gross Receipts Taxes,T09,2978382,no,5615902
521,2020,Colorado,270883,6.0,General Sales and Gross Receipts Taxes,T09,2978382,no,5615902
522,2018,Idaho,61376,13.0,General Sales and Gross Receipts Taxes,T09,1650498,no,1718904
523,2019,Idaho,63986,13.0,General Sales and Gross Receipts Taxes,T09,1650498,no,1718904
524,2020,Idaho,64781,13.0,General Sales and Gross Receipts Taxes,T09,1650498,no,1718904
525,2018,Utah,113864,45.0,General Sales and Gross Receipts Taxes,T09,2533961,no,3103118
526,2019,Utah,119970,45.0,General Sales and Gross Receipts Taxes,T09,2533961,no,3103118
527,2020,Utah,121445,45.0,General Sales and Gross Receipts Taxes,T09,2533961,no,3103118
528,2018,Wyoming,24352,51.0,General Sales and Gross Receipts Taxes,T09,588866,no,578934
529,2019,Wyoming,24839,51.0,General Sales and Gross Receipts Taxes,T09,588866,no,578934
530,2020,Wyoming,24467,51.0,General Sales and Gross Receipts Taxes,T09,588866,no,578934
531,2018,California,1835635,5.0,General Sales and Gross Receipts Taxes,T09,35357699,no,39399349
532,2019,California,1921463,5.0,General Sales and Gross Receipts Taxes,T09,35357699,no,39399349
533,2020,California,1835981,5.0,General Sales and Gross Receipts Taxes,T09,35357699,no,39399349
534,2018,Hawaii,64439,12.0,General Sales and Gross Receipts Taxes,T09,3239225,no,1424203
535,2019,Hawaii,66977,12.0,General Sales and Gross Receipts Taxes,T09,3239225,no,1424203
536,2020,Hawaii,63427,12.0,General Sales and Gross Receipts Taxes,T09,3239225,no,1424203
537,2018,Nevada,120132,29.0,General Sales and Gross Receipts Taxes,T09,4756243,no,2972405
538,2019,Nevada,125927,29.0,General Sales and Gross Receipts Taxes,T09,4756243,no,2972405
539,2020,Nevada,123054,29.0,General Sales and Gross Receipts Taxes,T09,4756243,no,2972405
540,2018,Washington,347411,48.0,General Sales and Gross Receipts Taxes,T09,14509841,no,7425432
541,2019,Washington,363100,48.0,General Sales and Gross Receipts Taxes,T09,14509841,no,7425432
542,2020,Washington,354219,48.0,General Sales and Gross Receipts Taxes,T09,14509841,no,7425432
543,2018,Connecticut,181568,7.0,Selective Sales and Gross Receipts Taxes,TA2,2754851,no,3573880
544,2019,Connecticut,185316,7.0,Selective Sales and Gross Receipts Taxes,TA2,2754851,no,3573880
545,2020,Connecticut,179406,7.0,Selective Sales and Gross Receipts Taxes,TA2,2754851,no,3573880
546,2018,Maine,60086,20.0,Selective Sales and Gross Receipts Taxes,TA2,723275,no,1335063
547,2019,Maine,62130,20.0,Selective Sales and Gross Receipts Taxes,TA2,723275,no,1335063
548,2020,Maine,61124,20.0,Selective Sales and Gross Receipts Taxes,TA2,723275,no,1335063
549,2018,Massachusetts,364730,22.0,Selective Sales and Gross Receipts Taxes,TA2,2568427,no,6863246
550,2019,Massachusetts,377584,22.0,Selective Sales and Gross Receipts Taxes,TA2,2568427,no,6863246
551,2020,Massachusetts,358472,22.0,Selective Sales and Gross Receipts Taxes,TA2,2568427,no,6863246
